"Female_Ana-de-TrinidadSonetos" "Female_LeonordelaCuevaSonetos" "Female_Maria-de-SantaIsabelSonetos" "Female_MariadeZayas_Sonetos" "Female_SorJuanaInesdelaCruzSonetos" "Female_Violante-do-CeuSonetos" "Male_GongoraSonetos" "Male_JuandeArguijoSonetos" "Male_JuandeJaureguiSonetos" "Male_LopedeVegaSonetos" "Male_PedroSotodeRojasSonetos" "Male_QuevedoSonetos"
"que" 4.30786904078116 3.21428571428571 3.99703923019985 4.44846292947559 4.56070774862721 4.75509938937248 3.45693317883353 2.72640306122449 2.70400772573636 4.35296329117323 3.89429763560501 3.81034112851319
"de" 4.59506031016657 4.54081632653061 4.58919319022946 3.18264014466546 3.93532641854789 3.72872547745875 4.80880648899189 3.30038265306122 3.0420086914534 3.80649319262064 3.65090403337969 3.60866766788243
"y" 2.81447443997702 3.57142857142857 2.73871206513694 3.29113924050633 2.6693105552166 1.54605690528777 2.89687137891078 4.04974489795918 5.31144374698213 3.524530733908 2.79033379694019 4.52692555245655
"el" 3.27398047099368 2.44897959183673 2.66469282013323 2.56781193490054 2.79133618059793 2.71534364037937 2.50096562379297 4.65561224489796 4.44229840656688 3.40771771529848 2.99895688456189 2.89208324393907
"la" 2.41240666283745 2.44897959183673 2.22057735011103 1.6998191681736 2.6235509456986 3.06612966090685 2.74237157203553 4.04974489795918 3.62143891839691 2.85856225999624 2.55563282336579 2.88135593220339
"en" 3.15910396323952 2.3469387755102 2.66469282013323 2.31464737793852 2.33374008541794 2.33857347018319 2.45268443414446 2.64668367346939 2.31772090777402 2.44098928542657 2.49478442280946 2.78051920188801
"a" 1.32107983917289 1.98979591836735 3.18282753515914 1.98915009041591 2.01342281879195 2.20865272183968 1.72846658941676 2.16836734693878 1.59343312409464 1.83007062488252 1.89499304589708 1.96095258528213
"no" 1.66570936243538 1.07142857142857 2.22057735011103 1.91681735985533 1.79987797437462 1.57204105495648 1.43877945152569 1.05229591836735 0.67600193143409 1.29971266682779 1.16481223922114 1.45033254666381
"con" 0.631820792647903 0.86734693877551 1.11028867505551 1.44665461121157 1.02196461256864 0.883461088735871 1.1201235998455 1.24362244897959 0.67600193143409 0.973441821746019 0.938803894297636 1.14996781806479
"su" 0.631820792647903 1.37755102040816 1.03626943005181 1.22965641952984 0.899938987187309 0.675587891386254 1.05252993433758 1.43494897959184 1.97971994205698 0.868712908509896 0.999652294853964 0.939712508045484
"al" 0.287191269385411 0.918367346938776 0.592153960029608 0.506329113924051 0.930445393532642 0.883461088735871 1.07184241019699 1.30739795918367 1.8348623853211 0.857971481511319 1.19958275382476 0.892512336408496
"los" 0.344629523262493 0.86734693877551 0.074019245003701 0.650994575045208 0.564368517388652 0.415746394699233 0.984936268829664 0.79719387755102 0.193143408981169 0.96135771637262 0.651947148817802 1.14353143102339
"del" 0.919012062033314 1.02040816326531 0.962250185048113 0.361663652802893 0.762660158633313 0.961413537741977 0.888373889532638 1.33928571428571 1.49686141960406 0.911678616504203 0.791029207232267 0.813130229564471
"por" 0.344629523262493 0.816326530612245 0.296076980014804 1.12115732368897 0.808419768151312 1.11731843575419 0.637311703360371 0.446428571428571 0.338000965717045 0.960015037997798 0.686717663421419 0.903239648144175
"si" 0.976450315910396 0.510204081632653 1.25832716506292 1.33815551537071 1.09823062843197 1.11731843575419 0.579374275782155 0.589923469387755 0.482858522452921 0.851258089637208 1.20827538247566 0.793821068440249
"mi" 3.10166570936244 0.816326530612245 1.48038490007402 1.22965641952984 1.0829774252593 0.389762245030531 0.347624565469293 0.462372448979592 0.531144374698213 0.927790757002068 1.66898470097357 0.647929628835014
"es" 0.631820792647903 0.459183673469388 1.18430792005922 1.15732368896926 0.915192190359976 0.974405612576328 0.482811896485129 0.111607142857143 0.193143408981169 0.823061843765944 0.834492350486787 0.800257455481656
"las" 0.459506031016657 0.663265306122449 0.296076980014804 0.433996383363472 0.457596095179988 0.37677017019618 0.917342603321746 0.653698979591837 0.579430226943506 0.784124170896104 0.599791376912378 0.84960308946578
"se" 0.631820792647903 0.510204081632653 1.33234641006662 0.759493670886076 0.701647345942648 0.649603741717552 0.589030513711858 0.733418367346939 0.579430226943506 0.686108649534091 0.617176634214186 0.622184080669384
"me" 1.95290063182079 0.816326530612245 0.666173205033309 1.0126582278481 0.960951799877974 0.311809796024425 0.29934337582078 0.191326530612245 0.338000965717045 0.784124170896104 0.782336578581363 0.469856254022742
"amor" 0.631820792647903 0.510204081632653 0.962250185048113 1.22965641952984 0.564368517388652 0.714564115889308 0.154499806875241 0.207270408163265 0.338000965717045 0.925105400252423 0.730180806675939 0.238146320532075
"tu" 0.631820792647903 0.86734693877551 0.592153960029608 0.54249547920434 1.20500305064063 0.753540340392361 0.59868675164156 0.573979591836735 0.531144374698213 0.375949944950187 0.764951321279555 0.821712078953014
"un" 0.516944284893739 0.816326530612245 1.33234641006662 0.54249547920434 0.442342892007322 0.558659217877095 1.06218617226728 0.39859693877551 0.531144374698213 0.660597760412471 0.53894297635605 0.467710791675606
"más" 0.516944284893739 0.816326530612245 0.74019245003701 0.506329113924051 0.823672971323978 0.649603741717552 0.772499034376207 0.350765306122449 0.241429261226461 0.543784741802949 0.617176634214186 0.510620038618322
"pues" 0.344629523262493 0.612244897959184 0.444115470022206 0.397830018083183 0.655887736424649 0.922437313238924 0.289687137891078 0.143494897959184 0.193143408981169 0.453825290689868 0.478094575799722 0.55782021025531
"lo" 0.459506031016657 0.306122448979592 0.666173205033309 0.216998191681736 0.899938987187309 1.15629466025724 0.463499420625724 0.127551020408163 0.193143408981169 0.353124412578211 0.139082058414465 0.542801973825359
"te" 0.402067777139575 0.204081632653061 0.296076980014804 0.506329113924051 0.838926174496644 0.428738469533585 0.347624565469293 0.239158163265306 0.193143408981169 0.31418673970837 0.312934631432545 0.529929199742544
"le" 0.344629523262493 0.255102040816327 0.592153960029608 0.361663652802893 0.427089688834655 0.324801870858776 0.357280803398996 0.302933673469388 0.241429261226461 0.350439055828567 0.356397774687065 0.519201888006866
"quien" 0.229753015508329 0.255102040816327 0.296076980014804 0.180831826401447 0.457596095179988 0.428738469533585 0.193124758594052 0.159438775510204 0.289715113471753 0.384006015199119 0.252086230876217 0.311092040334692
"ya" 0.287191269385411 0.714285714285714 0.148038490007402 0.289330922242315 0.472849298352654 0.0649603741717552 0.444186944766319 0.159438775510204 0.482858522452921 0.316872096458014 0.530250347705146 0.272473718086248
"sus" 0.172314761631246 0.561224489795918 0.074019245003701 0.289330922242315 0.198291641244661 0.103936598674808 0.415218230977211 0.526147959183674 0.241429261226461 0.337012272080346 0.269471488178025 0.304655653293285
"bien" 0.402067777139575 0.255102040816327 0.222057735011103 0.397830018083183 0.305064063453325 0.571651292711446 0.22209347238316 0.175382653061224 0.289715113471753 0.353124412578211 0.278164116828929 0.24029178287921
"qué" 0.172314761631246 0.561224489795918 0 0.361663652802893 0.411836485661989 0.714564115889308 0.164156044804944 0.159438775510204 0.0965717044905843 0.36520851795161 0.234700973574409 0.212400772366445
"ni" 0.344629523262493 0.86734693877551 0.296076980014804 0.180831826401447 0.305064063453325 0.0779524490061063 0.280030899961375 0.38265306122449 0.193143408981169 0.326270845081769 0.234700973574409 0.304655653293285
"tan" 0.516944284893739 0.255102040816327 0.148038490007402 0.216998191681736 0.457596095179988 0.779524490061063 0.183468520664349 0.079719387755102 0.144857556735876 0.299417277585327 0.208623087621697 0.259600944003433
"yo" 0.114876507754164 0.204081632653061 0.296076980014804 0.614828209764919 0.442342892007322 0.103936598674808 0.0965623792970259 0.0478316326530612 0.144857556735876 0.374607266575365 0.165159944367177 0.255310019309161
"mis" 0.574382538770821 0.306122448979592 0.074019245003701 0.397830018083183 0.106772422208664 0.0519682993374042 0.0869061413673233 0.111607142857143 0.144857556735876 0.343725663954456 0.62586926286509 0.233855395837803
"sin" 0.574382538770821 0.255102040816327 0.074019245003701 0.470162748643761 0.228798047589994 0.24684942185267 0.241405948242565 0.143494897959184 0.0482858522452921 0.304787991084616 0.286856745479833 0.293928341557606
"para" 0.287191269385411 0.255102040816327 0.444115470022206 0.216998191681736 0.335570469798658 0.337793945693127 0.26071842410197 0.079719387755102 0.0482858522452921 0.330298880206235 0.182545201668985 0.210255310019309
"mas" 0.402067777139575 0.357142857142857 0.074019245003701 0.216998191681736 0.183038438071995 0.545667143042744 0.164156044804944 0.271045918367347 0.386286817962337 0.28196245871264 0.252086230876217 0.231709933490667
"como" 0.574382538770821 0.102040816326531 0.148038490007402 0.54249547920434 0.198291641244661 0.402754319864882 0.251062186172267 0.0956632653061224 0.241429261226461 0.311501382958726 0.304242002781641 0.171636987770865
"cuando" 0.287191269385411 0 0.444115470022206 0.470162748643761 0.411836485661989 0.142912823177861 0.0675936655079181 0.175382653061224 0.0482858522452921 0.287333172211928 0.260778859527121 0.281055567474791
"sol" 0.172314761631246 0.153061224489796 0.370096225018505 0.433996383363472 0.0762660158633313 0.194881122515266 0.241405948242565 0.0956632653061224 0.0965717044905843 0.33298423695588 0.278164116828929 0.188800686547951
"alma" 0.631820792647903 0.408163265306122 0.592153960029608 0.361663652802893 0.289810860280659 0.24684942185267 0.00965623792970259 0.0318877551020408 0.144857556735876 0.330298880206235 0.269471488178025 0.152327826646642
"ser" 0.459506031016657 0.255102040816327 0.370096225018505 0.578661844484629 0.48810250152532 0.441730544367936 0.135187331015836 0.0478316326530612 0.0965717044905843 0.243024785842799 0.173852573018081 0.212400772366445
"vida" 0.574382538770821 0.204081632653061 0.518134715025907 0.180831826401447 0.320317266625991 0.454722619202287 0.115874855156431 0.207270408163265 0.386286817962337 0.244367464217621 0.217315716272601 0.203818922977902
